feature,fraud_mean,fn_mean,fn_std,deviation_from_fraud,abs_deviation
M4,0.7956535841712618,0.47360809833694867,0.7744036011500508,-0.3414745012643827,0.3414745012643827
V12,0.5021083360363282,0.6818510484454086,0.5271324696932506,0.3397258340984227,0.3397258340984227
V76,0.5248134933506325,0.7151120751988431,0.5854940630354355,0.3274593737715986,0.3274593737715986
V54,0.602011028219267,0.794649313087491,0.5903716145026402,0.3247211676672207,0.3247211676672207
V285,1.0204346415828738,1.7288503253796095,2.6120779902081925,0.3229521032591555,0.3229521032591555
V201,2.2611093091144987,1.0860448300795373,0.4633926557636917,-0.3206461785512971,0.3206461785512971
V287,0.42296464482646773,0.7006507592190889,1.0807048051026027,0.3194748241806746,0.3194748241806746
V243,1.6834252351605579,1.027476500361533,0.33700379504863043,-0.31802988032673424,0.31802988032673424
V64,0.45507622445669804,0.2313810556760665,0.6931325639574849,-0.316812766821526,0.316812766821526
V75,0.4901070385987674,0.6587129428778019,0.5399472752830751,0.3147406800735236,0.3147406800735236
V242,1.5601686668829062,1.0108459869848156,0.11037795283126632,-0.3140823512484806,0.3140823512484806
V244,1.5977943561466104,1.0151843817787418,0.14406022614636507,-0.3110972346189684,0.3110972346189684
V217,1.4453454427505676,0.44613159797541574,2.118715582442118,-0.30971389442991726,0.30971389442991726
V10,0.07914369120986052,0.16702819956616052,0.39572286884794167,0.30814920973752075,0.30814920973752075
V199,2.0544923775543302,1.076644974692697,0.3706641599236901,-0.30361549286242145,0.30361549286242145
V11,0.08855011352578657,0.18727404193781635,0.4568944618880642,0.3022426792178981,0.3022426792178981
DeviceType,0.30197859228024654,0.16341287057122197,0.3698756892621713,-0.30176086339983504,0.30176086339983504
V86,1.5335711968861498,1.1663051337671728,0.48100670724234224,-0.2987018600194632,0.2987018600194632
V53,0.5556276354200455,0.7165582067968185,0.5399327402666306,0.295968618303462,0.295968618303462
V219,1.7732727862471618,0.6261749819233551,2.8503094083518214,-0.29504390096562877,0.29504390096562877
V90,0.08400908206292572,0.17281272595806219,0.40768464737440435,0.29293316752755055,0.29293316752755055
