feature,xgb_gain,shap_mean_abs,perm_importance,mutual_info,xgb_gain_norm,shap_mean_abs_norm,perm_importance_norm,mutual_info_norm,composite_score
V308,273.8683776855469,0.035571963,0.0012652728760533583,0.006315593578852363,0.039996029330294045,0.13826385,0.10340024126864134,0.18524931027105354,0.11672735806854476
V149,68.32628631591797,0.0021115337,9.898314404819253e-05,0.013315635719101548,0.00997844356700165,0.008207272,0.05651444386188246,0.3905749003615277,0.11631876489932688
V317,472.4492492675781,0.021179883,2.227244038477405e-05,0.008868471990800764,0.06899699114761536,0.0823236,0.05343061107814581,0.26013046896417513,0.11622041863049476
V253,25.481597900390625,0.00059817685,2.7046515294504303e-05,0.013814133321055522,0.003721359675109975,0.00232504,0.05362253277897178,0.4051968572339534,0.11621644743586851
V167,16.804561614990234,0.00066661503,-5.7498314790160875e-05,0.013917146013212589,0.0024541560618130216,0.0025910507,0.050223761730611986,0.4082184307302531,0.11587184980457652
V67,108.40489196777344,0.005531852,0.0006674983006016433,0.01179399529369185,0.015831565788397478,0.02150163,0.07936921632653349,0.34594206644523867,0.11566111977620802
V47,72.81192779541016,0.0033228435,0.00030962288624745147,0.01269347858011649,0.010633531422325157,0.012915485,0.06498233310719619,0.37232575569472703,0.11521427620786702
M4,102.83596801757812,0.020828007,0.0005249577930275029,0.009899845911915284,0.015018274208213911,0.08095591,0.07363897179382409,0.2903827809808606,0.11499898367133615
V52,63.63363265991211,0.0024824496,2.7854208037925155e-05,0.013172283882274094,0.009293123433115938,0.009648977,0.053655002685287286,0.3863700970335719,0.11474179999987613
V250,46.43672561645508,8.6677865e-05,2.6252859486319835e-07,0.013595958010456544,0.006781668827392226,0.00033690623,0.05254579469264253,0.3987973279890747,0.11461542443537873
V155,20.33833122253418,7.444681e-05,4.552518995115662e-08,0.013715000064463245,0.002970231535966926,0.00028936562,0.05253707097897167,0.4022890755378456,0.11452143591822592
V40,43.644020080566406,0.0012224924,7.234787296870327e-05,0.013331824683378235,0.006373819138909654,0.004751678,0.055443684264642426,0.3910497558804612,0.11440473434363896
id_13,46.33858108520508,0.0067035165,-3.2003449716722085e-05,0.012623375181288532,0.0067673356956022175,0.026055746,0.0512486760773162,0.3702694792547704,0.1135853092020392
