feature,global_mean,fp_mean,fp_std,deviation,abs_deviation
DeviceInfo,1556.2121222384033,1513.242225293711,280.4458977334178,-0.21042783561696227,0.21042783561696227
id_32,24.206184170420293,24.47270214236351,1.8866371530865176,0.20911766649272137,0.20911766649272137
V87,1.0931576748964225,1.1945404284727021,0.7261530251669868,0.20636476962024838,0.20636476962024838
V114,1.0114923064765582,1.0359364201796821,0.2038877342868911,0.20476734483359263,0.20476734483359263
TransactionAmt,137.1485328230659,185.39785279889423,251.66697738689123,0.19575161890758153,0.19575161890758153
V25,0.9908219595624344,1.0183137525915689,0.1704281539416076,0.19472976413844892,0.19472976413844892
V200,1.031677221977625,1.1582584657912924,0.6433787902729646,0.1898616786018665,0.1898616786018665
V56,1.147977557263973,1.3458880442294403,1.2372776092616977,0.18143792168598058,0.18143792168598058
addr2,86.92265835788713,86.61506565307533,3.459667526046366,-0.1806854616078254,0.1806854616078254
V98,0.07561440941059595,0.13096060815480304,0.3743254929419108,0.1765460117589256,0.1765460117589256
V259,0.9781217191045484,1.1067726330338632,1.2560269162629267,0.17355730693344812,0.17355730693344812
V111,1.0023481333468802,1.0134761575673807,0.1153219240423804,0.17323487417897626,0.17323487417897626
V5,0.9207392104401622,0.9930891499654457,0.4453786913481441,0.17237764475977785,0.17237764475977785
V199,1.0609047086847065,1.1748445058742225,0.649264701504173,0.17028038776637122,0.17028038776637122
V123,1.0392522098418397,1.0808569454042847,0.3523068389995791,0.16982314337520973,0.16982314337520973
V243,1.0343075828902362,1.1050449205252246,0.4256169528863757,0.16708439554408894,0.16708439554408894
V244,1.0278502161863154,1.0908776779543883,0.3895893637490015,0.16646578185369698,0.16646578185369698
id_30,42.12033054492498,43.015894955079474,7.352261182641441,0.16270560121120514,0.16270560121120514
V130,138.8358556395255,72.0032135700471,258.6779290386456,-0.15836470590058513,0.15836470590058513
V157,0.9767557376864113,1.0317899101589496,0.3105893109969451,0.15808709572224885,0.15808709572224885
id_34,2.985933778123977,2.967519004837595,0.1792433172150096,-0.15400547587535535,0.15400547587535535
V158,0.97883293257019,1.034899792674499,0.32812359772182415,0.15365835644665954,0.15365835644665954
V129,10.152718368114744,23.64168279947045,99.90534101565665,0.15169544633604742,0.15169544633604742
V113,1.0034883327124327,1.0138217000691085,0.11677059679969386,0.14972473991425572,0.14972473991425572
V116,1.0206139014009776,1.042156185210781,0.22065558089470766,0.13976539740102897,0.13976539740102897
V326,0.4488885878461521,0.007601935038009675,0.1112924999377775,-0.13921838541542866,0.13921838541542866
V242,1.0260891161761552,1.0753282653766414,0.3505851304377123,0.13910481543604514,0.13910481543604514
V35,0.7200415438976756,0.6551485832757429,0.5205219156544002,-0.13905074107447057,0.13905074107447057
card4,2.621905374741762,2.54526606772633,0.628169844868426,-0.13706288241822642,0.13706288241822642
V176,1.0916675133493638,1.2083621285418107,0.8575235117923177,0.133380421695293,0.133380421695293
V327,0.1567266118016279,0.0065653075328265375,0.09638337143192784,-0.1321986867585957,0.1321986867585957
V190,1.0463078989851096,1.1288873531444368,0.5326936607633552,0.1308356350128288,0.1308356350128288
V262,1.0085345615876995,1.0435383552176918,0.41427774691319946,0.1306175558536371,0.1306175558536371
V335,34.145445975999365,0.7992398064961991,11.613971203228797,-0.13002212729700532,0.13002212729700532
